1Similar,2Similar,3Similar,4Similar,5Similar,original
Spearow,Fearow,Kabutops,Clefairy,Ekans,Meowth
Arcanine,Vulpix,Vaporeon,Tentacruel,Cubone,Persian
Hypno,Goldeen,Jynx,Tentacool,Aerodactyl,Psyduck
Gastly,Clefable,Butterfree,Zubat,Mr. Mime,Golduck
Cubone,Golem,Primeape,Pikachu,Ponyta,Mankey
Cubone,Raticate,Golem,Ponyta,Mankey,Primeape
Ekans,Tentacruel,Arbok,Meowth,Weezing,Growlithe
Persian,Tentacruel,Eevee,Vulpix,Cubone,Arcanine
Seadra,Seaking,Machop,Magnemite,Gengar,Poliwag
Chansey,Nidoking,Seaking,Blastoise,Machop,Poliwhirl
Vileplume,Venusaur,Kadabra,Nidoqueen,Seel,Poliwrath
Charizard,Hitmonchan,Parasect,Paras,Charmeleon,Abra
Nidoqueen,Graveler,Rhydon,Raichu,Seel,Kadabra
Magmar,Kabuto,Electabuzz,Chansey,Porygon,Alakazam
Seaking,Seadra,Poliwag,Nidoking,Gengar,Machop
Squirtle,Golbat,Nidoran M,Dodrio,Onix,Machoke
Nidorina,Nidorino,Kingler,Lickitung,Nidoran F,Machamp
Exeggcute,Shellder,Zubat,Marowak,Gastly,Bellsprout
Spearow,Fearow,Kabutops,Slowbro,Meowth,Weepinbell
Squirtle,Krabby,Dodrio,Cloyster,Drowzee,Victreebel
Psyduck,Aerodactyl,Horsea,Ditto,Goldeen,Tentacool
Growlithe,Arcanine,Weezing,Ekans,Arbok,Tentacruel
Electrode,Marowak,Mr. Mime,Exeggutor,Diglett,Geodude
Rhydon,Raichu,Kadabra,Nidoqueen,Seel,Graveler
Primeape,Mankey,Ponyta,Cubone,Raticate,Golem
Golem,Wigglytuff,Rattata,Primeape,Pidgey,Ponyta
Bulbasaur,Scyther,Charmander,Magnemite,Tauros,Rapidash
Gengar,Magnemite,Rapidash,Seadra,Bulbasaur,Slowpoke
Clefairy,Fearow,Muk,Articuno,Meowth,Slowbro
Rapidash,Gengar,Slowpoke,Scyther,Seadra,Magnemite
Nidoqueen,Kadabra,Tangela,Graveler,Seel,Magneton
Aerodactyl,Krabby,Tentacool,Horsea,Psyduck,Farfetch'd
Porygon,Omanyte,Electabuzz,Magmar,Magikarp,Doduo
Squirtle,Golbat,Cloyster,Onix,Drowzee,Dodrio
Rhydon,Haunter,Nidoqueen,Raichu,Graveler,Seel
Kangaskhan,Goldeen,Tauros,Hypno,Psyduck,Dewgong
Starmie,Meowth,Fearow,Articuno,Slowbro,Grimer
Clefairy,Fearow,Slowbro,Spearow,Articuno,Muk
Exeggcute,Butterfree,Bellsprout,Electrode,Gastly,Shellder
Drowzee,Victreebel,Onix,Dodrio,Squirtle,Cloyster
Mr. Mime,Zubat,Golduck,Butterfree,Bellsprout,Gastly
Seel,Venomoth,Beedrill,Hitmonlee,Voltorb,Haunter
Slowpoke,Flareon,Ivysaur,Magnemite,Bulbasaur,Gengar
Dodrio,Squirtle,Cloyster,Drowzee,Golbat,Onix
Cloyster,Onix,Victreebel,Squirtle,Dodrio,Drowzee
Psyduck,Kangaskhan,Goldeen,Jynx,Tentacool,Hypno
Victreebel,Aerodactyl,Horsea,Farfetch'd,Tentacool,Krabby
Machamp,Nidorina,Lickitung,Nidorino,Snorlax,Kingler
Lapras,Beedrill,Venonat,Weedle,Kakuna,Voltorb
Butterfree,Mr. Mime,Exeggcute,Marowak,Zubat,Electrode
Bellsprout,Mr. Mime,Electrode,Marowak,Shellder,Exeggcute
Diglett,Sandshrew,Arbok,Geodude,Ekans,Exeggutor
Golem,Mankey,Persian,Primeape,Arcanine,Cubone
Geodude,Exeggcute,Electrode,Mr. Mime,Bellsprout,Marowak
Venomoth,Beedrill,Dugtrio,Lapras,Venonat,Hitmonlee
Kakuna,Weedle,Abra,Paras,Charizard,Hitmonchan
Kingler,Nidorina,Nidorino,Machamp,Nidoran F,Lickitung
Metapod,Oddish,Pidgeotto,Raticate,Caterpie,Koffing
Tentacruel,Growlithe,Ekans,Vulpix,Nidoran F,Weezing
Flareon,Gengar,Ivysaur,Slowpoke,Charmander,Rhyhorn
Raichu,Nidoqueen,Graveler,Kadabra,Seel,Rhydon
Blastoise,Poliwhirl,Nidoking,Seaking,Magmar,Chansey
Seel,Magneton,Nidoqueen,Kadabra,Rhydon,Tangela
Goldeen,Dewgong,Hypno,Tauros,Psyduck,Kangaskhan
Tentacool,Psyduck,Aerodactyl,Ditto,Goldeen,Horsea
Poliwag,Slowpoke,Magnemite,Rapidash,Gengar,Seadra
Psyduck,Hypno,Jynx,Kangaskhan,Ditto,Goldeen
Poliwag,Machop,Seadra,Nidoking,Slowpoke,Seaking
Rapidash,Scyther,Wartortle,Bulbasaur,Tauros,Staryu
Lickitung,Kingler,Nidorino,Nidoran F,Nidorina,Starmie
Electrode,Zubat,Butterfree,Exeggcute,Marowak,Mr. Mime
Magnemite,Bulbasaur,Rapidash,Staryu,Charmander,Scyther
Psyduck,Kangaskhan,Goldeen,Hypno,Ditto,Jynx
Magmar,Porygon,Kabuto,Alakazam,Omanyte,Electabuzz
Kabuto,Electabuzz,Porygon,Alakazam,Chansey,Magmar
Squirtle,Sandslash,Nidoran M,Machoke,Golbat,Pinsir
Wartortle,Rapidash,Kangaskhan,Psyduck,Dewgong,Tauros
Doduo,Omanyte,Electabuzz,Porygon,Magmar,Magikarp
Pidgeotto,Pidgey,Rattata,Gloom,Pidgeot,Gyarados
Voltorb,Beedrill,Venonat,Dugtrio,Venomoth,Lapras
Goldeen,Tentacool,Psyduck,Horsea,Hypno,Ditto
Tentacruel,Vulpix,Vaporeon,Persian,Arcanine,Eevee
Eevee,Persian,Snorlax,Arcanine,Vulpix,Vaporeon
Butterfree,Gastly,Golduck,Zubat,Mr. Mime,Jolteon
Charmander,Ivysaur,Bulbasaur,Gengar,Rapidash,Flareon
Omanyte,Electabuzz,Magmar,Kabuto,Alakazam,Porygon
Electabuzz,Kabuto,Porygon,Magmar,Doduo,Omanyte
Horsea,Jynx,Krabby,Tentacool,Aerodactyl,Omastar
Electabuzz,Alakazam,Chansey,Magmar,Porygon,Kabuto
Meowth,Spearow,Fearow,Clefairy,Ekans,Kabutops
Tentacool,Psyduck,Krabby,Ditto,Horsea,Aerodactyl
Machamp,Kingler,Nidorina,Nidorino,Vulpix,Snorlax
Muk,Clefairy,Meowth,Fearow,Slowbro,Articuno
